,orderx,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
61,Chromulinales,,,,,,,,0.06558258357839529,,,,,0.0657951694959769,0.03952847075210474,,,,0.03235924008452868,,,0.01795184592614303,0.03077611114239488,0.04977239691468088,0.01487739475591506,0.03220449077848611,0.07527099294949814,0.055257896399553766,,,,,0.02099339861404064,0.020498001542269696,,,0.00798315733880836,,0.009003530075820247,,0.04181210050035454,0.01907966171296492,,0.03485780871878749,,,,,,,,,,,
62,Chytridiales,,,,,,,0.04978267515886163,,,,,,,,,0.01484293920484818,,,,0.00741860992724474,0.010364503077909365,0.010258703714131626,,0.01487739475591506,0.020367908349181042,0.026612314770617474,,,,0.026046613053531162,,,0.010249000771134848,,,,,,,,,,0.049296385844716385,,,,,,,0.046274481338274755,,,,0.0472455591261534
63,Cladochytriales,,,,0.03809696588797297,,,,,,,0.1257389226923863,,,,,,,,,,0.010364503077909365,0.010258703714131626,,,,,,,,,,,0.017751790062418157,,,,,,,,,,,,,,,,,,,,,
64,Cladophorales,,,,,,,0.04978267515886163,,,,,,,,,,,,,,,,,,,,,,,,,0.01049669930702032,,,,,,,,,,,,,,,0.04719291781830087,,,,,,,
65,Clathrinida,,,,,,,,,,,,,,,,,,,,,0.010364503077909365,,,0.025768403601503658,0.03810486736392394,,,,,,,,,,,,,0.02382110150231089,,,0.01652347173904094,,,,,,,,,,0.056478249472490506,,,
66,Clionaida,,,,,0.04531432544294438,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010249000771134848,,,,,0.012732914342459054,,,,,,,,,,,,,,,,
67,Coleochaetales,,,,,,,,,,,,,0.037986858819879316,,,0.010495542964487809,,,0.009595002688760006,,0.01465762082003711,,0.028736106756903905,0.02103981343659344,0.014402286112292014,,0.039073233258228174,,,0.026046613053531162,,,,,,0.00798315733880836,,,,,,,,,,,,,,,,,,
68,Coleoptera,,,,,,,,,,,,,,,0.029889055977481354,0.027768596558628362,,,0.023502860668094646,0.023459704442429407,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10379668214490245,
69,Collodaria,,,,,,0.04828045495852676,,,,0.14494275891311212,0.10889310129609416,,,,0.018303234009578204,0.01817881366751496,0.13427774639211162,0.11667289935981782,0.01919000537752001,0.01483721985448948,,,,,,,,,,,,0.046942666379744744,0.05225985492684408,,,,,,,,,,,,,,,0.04025848411142373,,0.046274481338274755,0.03993615319154359,0.056934094230957195,0.10379668214490245,
70,Colponemida,0.04207031619116713,,,,,,,0.046373889576016826,,,,,,0.07905694150420949,,,0.06450494288062959,0.03235924008452868,0.013569382933450712,0.01049149877306519,0.027421897606911685,0.02293915886582789,0.04063899190541464,0.03644202585395018,0.02494549129163341,0.03763549647474907,0.04785474204170223,0.035578403348241,,0.052093226107062324,0.04434600701584929,0.01049669930702032,0.022917462425705283,0.03456505649101418,0.016438788039136256,0.01382723411563243,,0.02382110150231089,0.08270396169735617,0.11062441971717744,0.00953983085648246,,,0.042314421837409036,,,,0.04025848411142373,0.0746393370862076,,0.03993615319154359,,0.03129587719622029,
