,class,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
33,Chytridiomycetes,0.048795003647426664,0.06900655593423542,,0.04319342127906801,,,0.08687444855261388,0.10894694214056866,,,0.14071950894605836,,0.06516352124510746,,,0.02735195926822197,,,0.025418480997564556,0.020430867389435052,0.045388947684424946,0.06458817923045304,0.07940510210053552,0.06674086442659999,0.0601929265428846,0.08948747402853657,0.07372097807744857,0.04852615860619696,,0.09061831399952655,0.0543526425198644,0.04861282433363426,0.05595233713007893,0.04141576832812911,0.02111472177657533,0.025010423181607754,,0.01811308890005546,0.08146881698903526,0.12126781251816648,0.014204774743178402,,0.06752237049095156,,,0.028386647790182976,,,0.1179682202715451,0.05447347107028433,0.04740454631399772,0.05337605126836238,,0.052199575097188054
34,Clitellata,0.048795003647426664,,,,,,,,,,,0.11851371020029774,,,,,,,0.012709240498782278,,,,,,,,,0.028016590734026292,,,0.06656812017278434,,0.028702943322015683,,,0.014439774556447694,,0.01811308890005546,,,,0.053426813097493656,0.038984058779272523,0.033538923545276884,0.053429990522522335,0.05677329558036595,,0.0843149140979014,,,,0.07548513560963972,0.052093226107062324,
35,Coleochaetophyceae,,,,,,,,,,,,,0.04607756775840914,,,0.015791661046371634,,,0.012709240498782278,,0.024860550508181416,0.019932344846421823,0.03551104121142175,0.027246843806239894,0.026919095102908276,,0.07372097807744857,,,0.04271788288583805,,0.013482771598464758,,,,0.014439774556447694,,,,,,,,,,,,,,,,,,
36,Collembola,,,,,0.08564440043098774,,,,,,,,,,,,,,,0.011795766787067874,0.02870649105620166,0.031515804411306025,,,,,,,,0.030206104666508846,,0.04471729452616792,0.01815333528965787,,,,,0.044367825470805686,,,0.09528852579245707,,,,,,,,,,,,,
37,Compsopogonophyceae,,,,,,,,,,,,,,,,,,,,0.008340866684430747,0.01435324552810083,,,,,,,,,,,0.026965543196929516,0.03396178054056622,,0.014930362951083683,,,,,,,,,,,,,,,,,,,
38,Conoidasida,0.06900655593423542,0.18257418583505536,,0.04319342127906801,0.14834045293024464,0.20628424925175867,0.07523547938632787,0.163420413210853,0.10660035817780522,0.2,0.12186666955535813,,0.04607756775840914,,0.07037427211570366,0.08052198782749202,0.12790589587821588,0.11420804814403214,0.04755362359255524,0.055327050437264935,0.07991548894230917,0.05637718482341442,0.05022019609518254,0.07706571208529164,0.04256282653793743,,0.03296902366978935,0.14008295367013146,0.14285714285714285,0.0675429033697874,0.18026732160270725,0.10616344972981431,0.13027468856284016,,0.04222944355315066,0.06210781875866462,,0.051231551957855996,0.06651901052377393,,0.12301695782628072,0.036170123453445495,0.07796811755854505,0.11123602527209972,0.036172274580358904,0.10994101414603424,0.11026356928399425,,0.1478809902466911,0.15407424315426907,0.14221363894199315,0.07548513560963972,0.09022811434760541,0.052199575097188054
39,Coscinodiscophyceae,0.18257418583505536,0.19518001458970666,0.1015346165133619,0.3428371529353781,0.3048106550833201,0.20628424925175867,0.18428853505018536,0.163420413210853,0.10660035817780522,0.282842712474619,0.23335690592856784,,,0.04714045207910317,0.04309526442581208,0.05237501450728586,,0.03806934938134405,0.08896468349147595,0.04934523276528987,0.5017480773118264,0.5464153419003935,0.0939533838423878,0.35210682053330455,0.37878524373260003,0.07749842582921285,0.0872278375988647,0.3361990888083155,0.14285714285714285,0.23397548065437382,0.18431877851228282,0.287281132358655,0.27858125133194583,0.04141576832812911,0.439622502514256,0.4272563125695458,0.09035079029052513,0.5290138401257753,0.08146881698903526,0.17149858514250885,0.788077011022821,0.028853776835596437,0.14055902285436916,0.21735706680066552,0.028855492841238062,0.10994101414603424,0.2273141714077597,0.0973584767022471,0.3246040561061378,0.28305245867509754,0.27641362915388684,0.25598254926276814,0.07367094686837572,0.12786232377820236
40,Craniata,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.010905702555992056,,,0.010906351145160073,,,,,,,,,
41,Crinoidea,0.048795003647426664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013482771598464758,0.022233204294660424,,0.014930362951083683,,,,,,,,,,,,,,,,,,,
42,Cryptophyceae,,0.06900655593423542,,,,,,0.05447347107028433,0.07537783614444091,,,0.07703712157713453,0.13032704249021493,0.14907119849998599,0.0930964113576696,0.0920804159010954,0.5195562051469971,0.4693504608205512,0.12709240498782276,0.06928444223831082,0.3075080269687044,0.2898768798692257,0.3497431952850141,0.36351823687057394,0.33675777214705716,0.29340430481860025,0.30574214768259417,0.028016590734026292,,0.030206104666508846,0.0543526425198644,0.2198973500834284,0.23529411764705882,0.21520264493646468,0.37947801866749226,0.35074090530220475,0.305059378629466,0.32325647813488284,0.47504075279302016,0.5,0.3923707459277348,,,0.047431200545124896,,0.028386647790182976,,,,,,,0.063800911508867,0.052199575097188054
43,Cubozoa,,,,,,,,,,,,,,,,0.015791661046371634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Cycadopsida,,,,,,,,0.05447347107028433,,,,,,,,,,,,0.008340866684430747,,,,,,,,,,,,,,,,0.010210462507669136,,,,,0.014204774743178402,,,,,,,,,,,,,
45,Cyclorhagida,0.06900655593423542,,,,,,,,,,,,,,,,,,,,,0.014094296205853604,,,,,,,,,0.07686624420240878,0.033025910734727784,,0.07173421497882156,,,,0.028639308192644614,,,0.03758230140014144,,,,,,0.055131784641997125,,,,,,0.03683547343418786,
46,Demospongiae,0.048795003647426664,,,0.09658342616078197,0.06992836012750656,,,,,0.12649110640673517,,,,,,0.022332781224177665,0.04522156316461346,,0.012709240498782278,0.011795766787067874,0.024860550508181416,0.024412037125463696,,0.01926642802132291,0.04256282653793743,,0.04662524041201569,,,0.052318507981136686,,0.06323980439153884,0.07146975250517128,0.07173421497882156,0.05782504706237933,0.04896765796188228,0.08081220356417686,0.028639308192644614,,,0.014204774743178402,0.010905702555992056,,,0.010906351145160073,,,,,,,,0.127601823017734,
47,Dictyochophyceae,,,,,,,0.1063990353197863,0.07703712157713453,,,,,0.2481352962909404,0.2449489742783178,0.06261596752575942,0.06511068649814215,0.12790589587821588,0.15696394859782387,0.017973580280839296,0.020430867389435052,0.11482596422480663,0.12840514942821477,0.1464157737903536,0.10898737522495958,0.10072203103706698,0.1483981873946647,0.10425720702853739,0.06862635163075162,,0.06041220933301769,0.1274682455316105,0.06605182146945557,0.07594084992563563,0.08283153665625823,0.2925741672376757,0.281112409584408,0.3392669167725119,0.044367825470805686,0.19393457522841706,0.16269784336399212,0.07381017469576844,,0.055131784641997125,,,0.04014478229518501,,,0.06305666611194316,,,,,
48,Dimargaritomycetes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01815333528965787,,,,,,,,,,,,,,,,,,,,,
49,Dinophyceae,0.408248290463863,0.13801311186847084,0.2487080016869035,0.3317749641936107,0.28832201503194,0.21470745394639154,0.22984818615609148,0.6041400195358256,0.6351449369310055,0.8854377448471462,0.5672584756685631,0.08895480576030511,0.817795701209781,0.7644896627453143,0.7672893689150271,0.9751270778494012,0.9550211723688652,0.8780743093574844,0.7708759415960589,0.4700579764057738,1.0,0.9412626453339117,0.9212360795418755,0.8349279472266656,0.843345649219803,0.8256401647701507,0.7898816642246235,0.42396794997495446,0.2857142857142857,0.6116270033614245,0.7422668779949635,0.42891322145171085,0.41515213290860004,0.2715813547484405,1.0,1.0,0.3843892584878203,0.882815675586001,0.8609009481223006,0.8626225403146057,0.6512544547335787,0.04877178451518288,0.22394636787385183,0.2395158220689655,0.0487746850941212,0.10994101414603424,0.1909821042237691,0.14603771505337065,0.558683485151044,0.4254514097721987,0.45715288913550994,0.3958473906635696,0.23872115183006284,0.29063493398099316
50,Diplopoda,,,,,,,,,0.15075567228888181,,,,,,,,,,,,,,,,,,,,0.14285714285714285,,,,,,,,,,,,,,,0.047431200545124896,,,,,0.04458779620677098,,,,0.07367094686837572,
51,Dothideomycetes,0.048795003647426664,,,0.04319342127906801,,,,,,,,0.11074784004743883,,,,,,,,0.008340866684430747,0.01435324552810083,0.031515804411306025,0.03551104121142175,0.033370432213299994,,,,0.08859623899229176,,,0.03843312210120439,0.033025910734727784,0.04971495616050098,,0.04222944355315066,0.04896765796188228,,0.03622617780011092,,,0.03479445003196105,,,,,,,,0.04458779620677098,,0.04740454631399772,,0.052093226107062324,0.052199575097188054
52,Echinamoebida,,,,,,,,,,,,0.046648293684332584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Echinoidea,,,,,,,,,,,,,,,,,,,0.017973580280839296,0.011795766787067874,,,,,,,,,,,,,0.01815333528965787,,,,,,,,,,,,,,,,,,,,0.052093226107062324,
