,phylum,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
20,Candidatus_Chisholmbacteria,0.010627478650280318,,,,,0.011357038761088619,,0.00970645081830754,,0.012698988629324323,0.017975032046140385,,,,,,,,,,,,,0.006713980440645823,,,0.004976664387797269,,0.006689649164194135,0.01616481612565617,,,,,,,,,,0.005957343250342909,,0.033889266185509075,,0.011781840740656828,0.03388092900070486,0.017360483211470365,0.01020993031082701,,0.013066593726240383,,0.020922516751855122,0.018547162802488575,0.016883800336329358,0.009038399867637334
21,Candidatus_Cloacimonetes,0.021254957300560637,0.02135650584892708,0.010118835198875903,0.020804758453735535,0.020684245019185275,0.04094838559053704,0.019583388581686345,0.0274539887795159,0.04198124696734699,0.028395801820666065,0.031133668771593903,,0.009564963052253106,0.011072900348087923,,,0.013671292650159672,0.010234765854455704,,0.036527014868589246,0.015497823677195271,0.01355503930246984,,0.006713980440645823,,0.0070948755901414666,,0.012648098833237536,,0.019797775646885455,0.019930365369298274,,0.017746198653786908,,0.011256579987082013,0.008234427981155555,,0.01901631031139346,0.008430792202464394,0.005957343250342909,0.010732233407321958,0.03842681590342609,0.018936303620309267,0.02204180571853639,0.038417362424443366,0.02004615931080879,0.0456601964410895,0.044099530298404174,0.03200648730554085,0.028170211585442882,0.01871366788701046,0.021416418873441184,0.02135650584892708,0.01807679973527467
22,Candidatus_Coatesbacteria,0.01840733297863903,0.015101330108226502,,,,,,0.01372699438975795,,0.017959081948012177,0.022014828311609898,,,,,,,0.005117382927227852,,,,,,,,,,0.017887112908199845,,0.011430251099085133,,,,,,,,0.015526752351113423,,,,,0.021171431068793444,,,0.010023079655404395,0.014439021916455708,,0.013066593726240383,,0.01871366788701046,0.015143695014141822,0.01997718196632972,0.009038399867637334
23,Candidatus_Collierbacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004976664387797269,,,0.011430251099085133,,,,,,,,,,,,0.012808938634475362,,,0.012805787474814456,,,,,,,,,
24,Candidatus_Colwellbacteria,0.010627478650280318,,,,,,,0.00970645081830754,,,0.017975032046140385,,,,,,,,,,,,,,0.007290341773765835,0.011217983290189153,0.004976664387797269,,,,,,,0.006041441427888528,,,,,0.008430792202464394,,,0.018114574736479767,0.009468151810154634,,0.01811011832375011,,,,0.018478954061668346,,,,,
25,Candidatus_Curtissbacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006689649164194135,0.022860502198170266,,,,,,,,,,,,,,,,,,0.009860954752304332,,,,,,
26,Candidatus_Dadabacteria,0.026031899945508856,0.015101330108226502,0.014310193973668556,0.03177979347650517,0.016888615337236124,,0.016959712003922482,0.03362413195695432,0.02655127188617058,0.055353608120396816,0.045827519580362734,,0.020662681777168054,0.025968253149812964,,,0.01851101775515242,0.024542106359261653,0.023262105259961773,,,,,0.006713980440645823,0.007290341773765835,,0.007038066272602094,,0.006689649164194135,0.037909854155212815,0.031512674583162724,,0.014489710525281224,,,,0.015209528611160103,0.01097907187727647,0.02065113902347293,0.017872029751028726,0.010732233407321958,,0.026779977401056105,0.023563681481313655,,0.010023079655404395,,0.019721909504608663,0.03695790812333669,0.041236967311813984,0.035010066841533495,0.033862331482145756,0.01997718196632972,0.027115199602912005
27,Candidatus_Daviesbacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008619835571883531,0.012648098833237536,,,,,,,,,,,,0.005957343250342909,,,,,,,0.01768411804008988,,,,,,,
28,Candidatus_Desantisbacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008234427981155555,,,,,,,,,,,,,0.009239477030834173,,,,,
29,Candidatus_Doudnabacteria,,,,,0.011942054429810793,,,,,,,,,,,,,,,,,,,,,0.005016834641463939,0.004976664387797269,,,,,,0.014489710525281224,,0.011256579987082013,,,,0.005961470337137241,0.008424955620346758,,,0.013389988700528052,0.016662038965156757,,,,,,,,,,
30,Candidatus_Edwardsbacteria,,,0.007155096986834278,,,0.01606127824432846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013389988700528052,0.008331019482578379,,0.02004615931080879,0.014439021916455708,0.009860954752304332,0.022632004215709083,,0.013232561463778027,,,
31,Candidatus_Eisenbacteria,0.030059048882113883,0.030202660216453004,0.02373077204393179,0.0268588276710619,0.011942054429810793,0.02539511069289415,,0.03882580327323016,0.03982690782925587,0.031106042391250137,0.03595006409228077,,,,0.02918542027088895,,,,,,0.010958616215778212,,,,,,,0.012648098833237536,0.00863629993496475,0.022860502198170266,0.03986073073859655,,0.010245772569856445,,,,,0.01097907187727647,,,,,0.0250503750650752,0.03631407202122766,,0.010023079655404395,0.03228663453380425,0.017079674642128877,0.020660098717493133,0.023808174178039602,0.03623886203642403,0.021416418873441184,0.016883800336329358,0.043346643005520644
32,Candidatus_Falkowbacteria,0.031882435950840955,,,0.03397402828900454,0.031595706164476614,0.05446644450191324,0.02189489404922193,0.030694492582257017,0.04967288129056671,0.035918163896024355,0.033628205716469746,,,,,,,,,,,0.016601464867211358,0.014307044763489565,0.013427960881291646,0.01458068354753167,0.016638958140993046,0.012190288371183735,,0.006689649164194135,,,0.021514084233634993,0.014489710525281224,0.022605003945421222,0.01591920808366894,,0.008781225437900601,0.01097907187727647,,0.005957343250342909,0.015177670039188327,0.04792665985841886,0.029940924952334802,0.039075945076481655,0.04791486929859673,0.052081449634411095,0.06293823737739941,0.0406577580131872,0.03200648730554085,0.03531322906393747,0.028070501830515692,0.038608998192503456,0.016883800336329358,0.0239133582997275
33,Candidatus_Fermentibacteria,,,,,,0.019670968157734586,,0.01681206597847716,0.01877458439983895,,,,,,,,,,,,0.010958616215778212,,,,,,0.004976664387797269,,,,,,,,,,,,,,,,,0.011781840740656828,,0.02004615931080879,0.02041986062165402,0.024154307519818494,,0.010647339176450346,,,,
34,Candidatus_Fervidibacteria,,,,,,,,0.00970645081830754,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020660098717493133,0.010647339176450346,,,,
35,Candidatus_Firestonebacteria,,,,,0.023884108859621587,0.011357038761088619,,,,0.012698988629324323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.020660098717493133,,,,,
36,Candidatus_Fischerbacteria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014092896504156339,,0.02049154513971289,,,,,,,,,,,,,,0.01768411804008988,0.01394549594865621,0.009239477030834173,,,,,0.012782227674963906
37,Candidatus_Fraserbacteria,,,,,,,,0.00970645081830754,0.01877458439983895,0.017959081948012177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025617877268950724,,,0.025611574949628912,,,,,0.01505761146652246,,,,
38,Candidatus_Giovannonibacteria,,,,,,,,,,,,0.03233554731626753,,,,,,,,,,,,,,0.005016834641463939,,,,,,,,,,,,,,,,,,,,,,,0.009239477030834173,,0.01871366788701046,,,
