,family,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
80,Chrysochromulinaceae,,,,,,,,,,,0.08084520834544433,,0.12680852498964829,0.13385489628205094,0.042243047557175784,0.04424605508697462,0.13957263155977062,0.15962977676745213,0.023809523809523808,0.017186122424140717,0.036395333155790965,0.04844805228614238,0.0834299517232724,0.06543032449513807,0.055173725906824525,0.09613139516405018,0.08423817346663942,,,,,0.03522013650267664,0.04140829255761187,0.06204720485576977,0.06423007175018552,0.06777095158631317,0.13686167405367147,0.011670987352732655,0.08024800564689186,0.12154310870109943,0.030262442531421588,,,,,,,,,,,,,
81,Chytridiaceae,,,,,,,,,,,,,,,,,,,,,0.009397234612803269,0.009323832009705789,,,,,,,,,,,0.009499713825431449,,,,,,,,,,,,,,,,,,,,,
82,Chytriomycetaceae,,,,,,,,,,,,,,,,,,,,,,,,,0.01839124196894151,0.022054054569561544,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,Cicerinidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03511474936103118,,,,,,
84,Cionidae,,,,,,,,,0.08638684255813601,,,,,,,,,,,,,,,,,,,,,,,0.02584451453012244,0.034251705299827254,,,,,,,,,,,,,,,,,,,,,
85,Cirratulidae,,,,0.07940510210053552,0.12722833945199563,,,0.10932607756185055,,,0.1143323900950059,,,,,,,,,,,,,,,,,,,,,,,,0.01473538904712765,,,,,,0.008393291405217137,0.20328972330114994,0.20224786293662714,0.028759865427152538,0.2030714841364644,0.1251565435804397,,,0.03566881875032109,0.09990014975043672,0.07779098415844139,0.04096159602595202,,
86,Cladosporiaceae,,,,,,,,,,,,,,,,,,,,,,0.009323832009705789,,,,,,,,,,,,,,,,,,,0.008393291405217137,,,,,,,,,,,,,
87,Cladostephaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013814474099888441,0.009499713825431449,,,,,,,,,,,,,,,,,,,,,0.0777713771047819
88,Clathrinidae,,,,,,,,,,,,,,,,,,,,,,,,0.01335590905981797,0.029079106810567426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Cleomaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008393291405217137,,,,,,,,,,,,,
90,Closteriaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03280893574623933,,,,,,,,,,,
91,Coccomyxidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.016919206304810308,,,,,,,,,,,,,,,,,,,,,,
92,Coleochaetaceae,,,,,,,,,,,,,,,,0.009893718691067562,,,,,0.013289696638228264,,0.0240841525429544,,0.013004571910681174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,Collozoidae,,,,,,,,,,0.1494035761667992,0.09901475429766743,,,,0.017245651949200677,0.013991831155211932,0.10272267545166477,0.0863599934999714,0.015586992159713741,0.01403241019871622,,,,,,,,,,,,0.019536616629114087,0.02124200588045929,,,,,,,,,,,,,,,,,0.044676705160877024,0.038895492079220696,0.057928444636349226,0.08330120172105986,
94,Colponemidia,,,,,,,,,,,,,,,,,,,,,,0.009323832009705789,0.03406013516450858,0.0231331130728742,0.01839124196894151,,,,,,0.042144975196108964,,,,0.01473538904712765,0.007224407713151682,,,0.042894363300367125,,0.008393291405217137,,,0.028759865427152538,,,,,,,,,,
95,Coniophoraceae,,,,,,,,,,0.0668153104781061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,Convolutidae,,,,,0.042409446483998546,,,,,,,,,,,,,,,,,,,,,,,0.023249527748763855,,,,,,,,,,,,,,,,,,,,,,,0.06736896846660308,,,
97,Corallimorphidae,,,,,,,,,,,,,,,,,,,,,,,,,,0.022054054569561544,,,,,,,,,,,,,,,0.008393291405217137,,,,,,,,,,,,,
98,Corallinaceae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.009768308314557043,0.013434624130588352,,0.018047092163429385,0.007224407713151682,,,,,,,0.03280893574623933,,,,,,,,,,,
99,Corbiculidae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01615426674378096,,,,,,,,,,,,,,,,,,
