,species,EMOBON00001,EMOBON00084,EMOBON00086,EMOBON00088,EMOBON00091,EMOBON00092,EMOBON00093,EMOBON00094,EMOBON00095,EMOBON00097,EMOBON00098,EMOBON00099,EMOBON00120,EMOBON00121,EMOBON00122,EMOBON00123,EMOBON00124,EMOBON00125,EMOBON00126,EMOBON00129,EMOBON00130,EMOBON00131,EMOBON00135,EMOBON00136,EMOBON00137,EMOBON00138,EMOBON00139,EMOBON00140,EMOBON00141,EMOBON00142,EMOBON00143,EMOBON00144,EMOBON00145,EMOBON00147,EMOBON00148,EMOBON00149,EMOBON00153,EMOBON00155,EMOBON00156,EMOBON00157,EMOBON00158,EMOBON00193,EMOBON00194,EMOBON00195,EMOBON00224,EMOBON00225,EMOBON00226,EMOBON00227,EMOBON00236,EMOBON00237,EMOBON00238,EMOBON00241,EMOBON00242,EMOBON00243
81,Crisia_sigmoidea,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029247769028706173,,,,,,,,,,,,,,,,,,,,
82,Crisularia_plumosa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015925262933238246,0.012630935170956916,,,0.009393916965881583,,,,,,,,,,,,,,,,,,
83,Cruoriaceae_sp._LC-2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013002922735364077,,,,,,,,,,,,,,,,,,,,,,
84,Crustomastix_stigmatica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01067642700984599,,,,,,,,,,,,,,,,
85,Cryothecomonas_sp._APCC_MC5-1Cryo,,,0.18490006540840973,0.10308730552839766,0.038604571824109146,,,,,0.08247860988423225,,,,,,,,,,,0.07393054407551251,0.07254762501100116,0.05977668156572175,0.06782714347828954,0.08383208483643614,0.06482037235521644,0.06899013166744698,0.02195814375455294,,0.03970463730922457,0.04781825347975037,0.04951365463280605,0.04640901921452738,,0.05596603563031057,0.059412347525368114,,0.03376182662365427,,0.05136654969375141,0.026198125853112306,,0.06788442333021306,,,,,,,,,,0.03687301596824097,0.04106507811765909
86,Cryptocaryon_irritans,,0.05352877275721892,,,,,,0.04113450348948636,0.1822706541441223,,,,,,,,,,,,0.02134190976166632,0.012176122899586164,0.02259346194622841,0.012383485498066197,,0.028988551782622423,,,,,,0.00919445484142067,,,0.0095980959266335,0.006642502388478226,,,,,,,,0.02665955839873639,,,,,,,,,,
87,Cryptomonas_paramecium,,,,,,,,,,,,,,,,,,,,,,,,0.012383485498066197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,Cyclops_kolensis,,,,,,,,,,,,,,,0.03499322072016459,0.00932140129091331,,,0.00848922128718779,0.013206571640296223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,Cyclotella_meneghiniana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00919445484142067,,,,,,,,,,,,,,,,,,,0.03587480016670876,,,
90,Cylindrotheca_closterium,,,,,,0.05488212999484517,,,,,,,,,0.024743943666785985,0.020843286932036457,,0.03920312801169875,0.02940752517220903,0.021900621448905512,0.008712798175434305,0.012176122899586164,,0.012383485498066197,0.020958021209109036,,,,,,,0.020559426041468667,0.015469673071509127,,0.016624389800849106,0.013285004776956452,,0.013075899225095517,,,,,,0.03770230905437056,,0.02449244830545123,,0.030457245193658635,,,,,,
